FPS (preprocess + inference): 167.16496202780746
Name                             Type                     Forward_MACs  FPercent        Memory  MPercent       Params  PPercent    InShape      OutShape
-------------------------------  ---------------------  --------------  ----------  ----------  ----------  ---------  ----------  -----------  ----------
node_AveragePool_1726            AveragePool                     8,192  0.01%            8,192  0.06%               0  0.00%       1x128x5x5    1x128x4x4
node_Sigmoid_1309                Sigmoid                         2,048  0.00%              256  0.00%               0  0.00%       1x16x2x2     1x16x2x2
node_Mul_15                      Mul                            16,384  0.03%           65,536  0.50%               0  0.00%       1x16x32x32   1x16x32x32
node_Mul_1854                    Mul                               256  0.00%            1,024  0.01%               0  0.00%       1x64x2x2     1x64x2x2
node_Sigmoid_473                 Sigmoid                        32,768  0.05%            4,096  0.03%               0  0.00%       1x16x8x8     1x16x8x8
node_Mul_1338                    Mul                               128  0.00%              512  0.00%               0  0.00%       1x32x2x2     1x32x2x2
node_Sigmoid_359                 Sigmoid                        32,768  0.05%            4,096  0.03%               0  0.00%       1x16x8x8     1x16x8x8
node_Sigmoid_1378                Sigmoid                        16,384  0.03%            2,048  0.02%               0  0.00%       1x32x4x4     1x32x4x4
node_Sigmoid_1533                Sigmoid                        98,304  0.15%           12,288  0.09%               0  0.00%       1x48x8x8     1x48x8x8
node_Mul_585                     Mul                               512  0.00%            2,048  0.02%               0  0.00%       1x32x4x4     1x32x4x4
node_Conv_2279                   Conv                            8,448  0.01%            3,136  0.02%             528  0.02%       1x32x4x4     1x16x4x4
node_Add_2007                    Add                             2,048  0.00%            8,704  0.07%             128  0.01%       1x128x4x4    1x128x4x4
node_MaxPool_33                  MaxPool                        65,536  0.10%           65,536  0.50%               0  0.00%       1x16x33x33   1x16x32x32
node_Add_834                     Add                               512  0.00%            2,048  0.02%               0  0.00%       1x32x4x4     1x32x4x4
node_Conv_2318                   Conv                        1,480,704  2.31%          117,120  0.90%          23,136  0.95%       1x240x8x8    1x96x8x8
node_Sigmoid_422                 Sigmoid                        32,768  0.05%            4,096  0.03%               0  0.00%       1x16x8x8     1x16x8x8
node_Conv_2330                   Conv                           12,480  0.02%           13,248  0.10%           3,120  0.13%       1x64x2x2     1x48x2x2
node_Sigmoid_1119                Sigmoid                         2,048  0.00%              256  0.00%               0  0.00%       1x16x2x2     1x16x2x2
node_Sigmoid_684                 Sigmoid                         8,192  0.01%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_Add_1921                    Add                             6,144  0.01%           24,960  0.19%              96  0.00%       1x96x8x8     1x96x8x8
node_Add_2119                    Add                               512  0.00%            2,560  0.02%             128  0.01%       1x128x2x2    1x128x2x2
node_Mul_1392                    Mul                               512  0.00%            2,048  0.02%               0  0.00%       1x32x4x4     1x32x4x4
node_Sigmoid_14                  Sigmoid                       524,288  0.82%           65,536  0.50%               0  0.00%       1x16x32x32   1x16x32x32
node_Conv_2315                   Conv                        1,330,176  2.07%           95,424  0.73%          20,784  0.85%       1x48x8x8     1x48x8x8
node_Sigmoid_2034                Sigmoid                        65,536  0.10%            8,192  0.06%               0  0.00%       1x128x4x4    1x128x4x4
node_Mul_972                     Mul                               256  0.00%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_Conv_2203                   Conv                        1,183,744  1.85%           34,880  0.27%           4,624  0.19%       1x32x32x32   1x16x16x16
node_Add_1655                    Add                             1,024  0.00%            4,096  0.03%               0  0.00%       1x64x4x4     1x64x4x4
