Profiling file: onnxruntime_profile__2026-06-02_07-28-15_187.json
FPS (preprocess + inference): 74.25695478355941
Name                 Type          Forward_MACs  FPercent        Memory  MPercent        Params  PPercent    InShape      OutShape
-------------------  ----------  --------------  ----------  ----------  ----------  ----------  ----------  -----------  -----------
node_Sigmoid_75      Sigmoid            262,144  0.13%           32,768  0.07%                0  0.00%       1x32x16x16   1x32x16x16
node_Conv_1092       Conv             4,227,072  2.02%          197,120  0.42%           16,512  0.16%       1x128x16x16  1x128x16x16
node_Mul_696         Mul                    512  0.00%            2,048  0.00%                0  0.00%       1x128x2x2    1x128x2x2
node_Conv_1126       Conv             1,056,768  0.50%           98,816  0.21%           16,512  0.16%       1x128x8x8    1x128x8x8
node_Mul_643         Mul                    512  0.00%            2,048  0.00%                0  0.00%       1x128x2x2    1x128x2x2
node_Mul_555         Mul                  8,192  0.00%           32,768  0.07%                0  0.00%       1x512x4x4    1x512x4x4
node_Mul_341         Mul                  4,096  0.00%           16,384  0.03%                0  0.00%       1x64x8x8     1x64x8x8
node_Mul_732         Mul                  2,048  0.00%            8,192  0.02%                0  0.00%       1x512x2x2    1x512x2x2
node_Sigmoid_536     Sigmoid            131,072  0.06%           16,384  0.03%                0  0.00%       1x256x4x4    1x256x4x4
node_Conv_1176       Conv               263,168  0.13%          267,264  0.57%           65,792  0.63%       1x256x2x2    1x256x2x2
node_Conv_1154       Conv               131,584  0.06%          133,632  0.28%           32,896  0.31%       1x256x2x2    1x128x2x2
node_Sigmoid_410     Sigmoid            262,144  0.13%           32,768  0.07%                0  0.00%       1x512x4x4    1x512x4x4
node_Sigmoid_642     Sigmoid             16,384  0.01%            2,048  0.00%                0  0.00%       1x128x2x2    1x128x2x2
node_Split_958       Split                    0  0.00%           65,536  0.14%                0  0.00%       1x256x8x8    1x128x8x8
node_Conv_1118       Conv             2,363,392  1.13%          164,096  0.35%           36,928  0.35%       1x64x8x8     1x64x8x8
node_Mul_323         Mul                  4,096  0.00%           16,384  0.03%                0  0.00%       1x64x8x8     1x64x8x8
node_Conv_1100       Conv             2,367,488  1.13%           69,760  0.15%            9,248  0.09%       1x32x16x16   1x32x16x16
node_Sigmoid_554     Sigmoid            262,144  0.13%           32,768  0.07%                0  0.00%       1x512x4x4    1x512x4x4
node_Conv_1164       Conv               131,584  0.06%          133,632  0.28%           32,896  0.31%       1x256x2x2    1x128x2x2
node_Conv_1150       Conv             9,439,232  4.50%        9,447,424  19.99%       2,359,808  22.59%      1x512x4x4    1x512x2x2
node_Transpose_787   Transpose                0  0.00%              256  0.00%                0  0.00%       1x4x4x4      1x4x4x4
node_Mul_233         Mul                 16,384  0.01%           65,536  0.14%                0  0.00%       1x256x8x8    1x256x8x8
node_Add_835         Add                  1,024  0.00%            4,096  0.01%                0  0.00%       1x256x2x2    1x256x2x2
node_Sigmoid_713     Sigmoid             32,768  0.02%            4,096  0.01%                0  0.00%       1x256x2x2    1x256x2x2
node_Sigmoid_253     Sigmoid            131,072  0.06%           16,384  0.03%                0  0.00%       1x64x8x8     1x64x8x8
node_Sigmoid_902     Sigmoid            163,840  0.08%           20,480  0.04%                0  0.00%       1x1280x2x2   1x1280x2x2
node_Mul_163         Mul                  8,192  0.00%           32,768  0.07%                0  0.00%       1x32x16x16   1x32x16x16
node_Conv_1172       Conv               526,336  0.25%          534,528  1.13%          131,584  1.26%       1x256x2x2    1x512x2x2
node_Sigmoid_695     Sigmoid             16,384  0.01%            2,048  0.00%                0  0.00%       1x128x2x2    1x128x2x2
node_Conv_1160       Conv               590,336  0.28%          592,384  1.25%          147,584  1.41%       1x128x2x2    1x128x2x2
node_Sigmoid_322     Sigmoid            131,072  0.06%           16,384  0.03%                0  0.00%       1x64x8x8     1x64x8x8
node_Mul_53          Mul                 32,768  0.02%          131,072  0.28%                0  0.00%       1x128x16x16  1x128x16x16
node_Mul_714         Mul                  1,024  0.00%            4,096  0.01%                0  0.00%       1x256x2x2    1x256x2x2
node_Sigmoid_162     Sigmoid            262,144  0.13%           32,768  0.07%                0  0.00%       1x32x16x16   1x32x16x16
node_Mul_519         Mul                  2,048  0.00%            8,192  0.02%                0  0.00%       1x128x4x4    1x128x4x4
node_Conv_1156       Conv               590,336  0.28%          592,384  1.25%          147,584  1.41%       1x128x2x2    1x128x2x2
