timestamp,total_power_w,3V7_WL_SW,3V3_SYS,1V8_SYS,DDR_VDD2,DDR_VDDQ,1V1_SYS,0V8_SW,VDD_CORE,3V3_DAC,3V3_ADC,0V8_AON,HDMI
1784698703.494118808,2.050582,0.000000,0.211151,0.339889,0.057370,0.000000,0.214990,0.302009,0.881721,0.000000,0.001213,0.002874,0.039365
1784698703.725804949,4.006484,0.000000,0.224145,0.352471,0.109184,0.001180,0.218941,0.288743,2.763487,0.000808,0.001617,0.002828,0.043080
1784698703.930130978,5.936048,0.003617,0.207786,0.340933,0.030219,0.001178,0.220292,0.302790,4.781294,0.000000,0.002021,0.002826,0.043092
1784698704.414313603,8.744053,0.032513,0.259805,0.367394,0.263363,0.000000,0.230575,0.300724,7.242036,0.000808,0.001213,0.002632,0.042990
1784698704.882946025,6.979232,0.000000,0.207497,0.357620,0.299247,0.002068,0.228117,0.333699,5.504048,0.000809,0.001211,0.003172,0.041744
1784698705.358153068,6.422631,0.151917,0.220096,0.352091,0.195407,0.005622,0.215705,0.331360,4.901353,0.000000,0.001213,0.002831,0.045036
1784698705.816767466,5.561837,0.177192,0.214638,0.376916,0.276195,0.012096,0.227192,0.348992,3.885231,0.000808,0.000606,0.002585,0.039386
1784698706.366167503,7.446515,0.177103,0.191767,0.362513,0.125068,0.000000,0.238117,0.316546,5.988882,0.000000,0.001212,0.002684,0.042623
1784698706.848478832,6.069418,0.177147,0.217951,0.370004,0.285177,0.011772,0.218651,0.355656,4.385487,0.000808,0.001213,0.002923,0.042629
1784698707.394238688,6.410127,0.180853,0.227583,0.390881,0.298455,0.015101,0.216568,0.360252,4.673424,0.000000,0.001212,0.002729,0.043069
1784698707.877543662,6.596872,0.166427,0.233238,0.361236,0.180174,0.006806,0.217140,0.349751,5.035449,0.000808,0.001212,0.002536,0.042095
1784698708.345839285,7.913520,0.151802,0.230770,0.405171,0.154434,0.011231,0.240789,0.338062,6.337052,0.000000,0.002427,0.002582,0.039200
1784698708.844340072,7.375557,0.170002,0.227330,0.376591,0.261908,0.015645,0.216996,0.359593,5.700462,0.000000,0.001616,0.002825,0.042589
1784698709.330246356,6.427349,0.180853,0.227076,0.383111,0.264327,0.018609,0.231960,0.341028,4.733428,0.000000,0.001415,0.002875,0.042667
1784698709.802232010,8.960863,0.173489,0.207786,0.369884,0.095256,0.001477,0.215419,0.337597,7.513429,0.000000,0.001212,0.002680,0.042634
1784698710.226160949,7.032634,0.184470,0.194256,0.373274,0.199461,0.009789,0.217574,0.325421,5.483848,0.000807,0.000606,0.003897,0.039231
1784698710.670142417,6.349527,0.180853,0.217648,0.391016,0.309640,0.013340,0.347286,0.356800,4.487603,0.000000,0.001616,0.002485,0.041240
1784698711.194766833,5.169971,0.199038,0.221081,0.375237,0.247979,0.013891,0.219014,0.355204,3.494063,0.000000,0.001213,0.002679,0.040572
1784698711.730603419,6.837827,0.187946,0.191126,0.396377,0.252292,0.013925,0.216856,0.339468,5.195753,0.000000,0.001213,0.003506,0.039365
1784698712.203529718,5.930102,0.235168,0.220773,0.353139,0.055060,0.002075,0.214990,0.348371,4.457120,0.000808,0.001617,0.002826,0.038155
1784698712.670646098,6.613240,0.180717,0.217708,0.354992,0.122830,0.001478,0.224333,0.326166,5.135193,0.000000,0.001617,0.003170,0.045036
1784698713.142452637,9.480393,0.188134,0.204654,0.382581,0.271428,0.009441,0.217646,0.334172,7.828551,0.000000,0.001415,0.003119,0.039252
1784698713.618466467,8.316427,0.198988,0.333660,0.441702,0.091887,0.001476,0.232962,0.348492,6.622019,0.000202,0.001011,0.002875,0.041153
1784698714.098494810,7.285891,0.191608,0.217526,0.349341,0.363226,0.001483,0.221318,0.348033,5.548275,0.000000,0.001215,0.002680,0.041186
1784698714.578500745,8.094701,0.170044,0.200732,0.385708,0.220951,0.002359,0.216784,0.324640,6.526496,0.000808,0.001415,0.003119,0.041645
1784698715.154867606,5.565756,0.180717,0.220711,0.370909,0.291299,0.013925,0.234040,0.364886,3.841948,0.000000,0.001415,0.002826,0.043080
1784698715.618629247,6.175754,0.180808,0.305186,0.384045,0.109827,0.006486,0.218651,0.292779,4.630824,0.000808,0.001416,0.002924,0.042000
1784698716.091573875,6.354290,0.177059,0.211033,0.378631,0.226966,0.001177,0.215491,0.299025,4.802255,0.000000,0.001213,0.002680,0.038760
1784698716.646770170,6.223831,0.177147,0.217587,0.364174,0.177289,0.002959,0.214633,0.308111,4.717755,0.000808,0.001414,0.002826,0.039128
1784698717.182144362,8.118143,0.169917,0.207960,0.351382,0.300610,0.002366,0.217646,0.322299,6.500855,0.000808,0.001415,0.003510,0.039375
1784698717.678197957,6.581507,0.187946,0.231220,0.370809,0.160700,0.006214,0.232190,0.338687,5.007082,0.000000,0.001213,0.002923,0.042523
1784698718.203424050,9.082595,0.184332,0.218194,0.356750,0.288853,0.002071,0.216065,0.297834,7.471381,0.000202,0.001413,0.002777,0.042723
1784698718.706248691,7.065066,0.173489,0.278434,0.352852,0.162642,0.002073,0.214342,0.372854,5.461871,0.000000,0.001213,0.003118,0.042178
1784698719.214112751,8.082835,0.180763,0.204654,0.363680,0.058298,0.000000,0.235884,0.338681,6.653770,0.000000,0.001212,0.003215,0.042678
1784698719.674312633,7.766987,0.000000,0.208192,0.376489,0.213265,0.002081,0.217140,0.350875,6.355520,0.000000,0.001213,0.002631,0.039581
1784698720.182053155,6.598465,0.000000,0.213802,0.345289,0.289922,0.021023,0.216425,0.290171,5.178411,0.000000,0.001214,0.002874,0.039334
1784698720.756580549,7.305372,0.191608,0.207786,0.381346,0.126971,0.005015,0.231883,0.335258,5.782029,0.000000,0.002019,0.002828,0.038629
