timestamp,total_power_w,3V7_WL_SW,3V3_SYS,1V8_SYS,DDR_VDD2,DDR_VDDQ,1V1_SYS,0V8_SW,VDD_CORE,3V3_DAC,3V3_ADC,0V8_AON,HDMI
1784699521.040934503,2.184604,0.000000,0.408965,0.326874,0.033501,0.000883,0.218723,0.279645,0.869173,0.000202,0.001213,0.002925,0.042500
1784699521.265604848,4.119147,0.000000,0.211445,0.346784,0.224854,0.002354,0.228724,0.281590,2.775229,0.000000,0.001617,0.002777,0.043773
1784699521.463641946,2.540745,0.000000,0.553737,0.335752,0.017251,0.000000,0.218215,0.276656,1.090402,0.000808,0.001213,0.002926,0.043785
1784699521.657916569,6.446953,0.000000,0.214041,0.378043,0.274672,0.021010,0.217935,0.304490,4.991885,0.000808,0.001617,0.003118,0.039334
1784699522.098185610,6.231262,0.000000,0.201686,0.360265,0.297769,0.006802,0.216568,0.368173,4.729154,0.000808,0.001212,0.002925,0.045900
1784699522.577998318,5.509913,0.000000,0.266078,0.396699,0.106739,0.001766,0.216496,0.375366,4.100193,0.000000,0.001819,0.002925,0.041832
1784699523.046060530,6.857161,0.000000,0.207497,0.364477,0.156749,0.006510,0.216425,0.371634,5.486056,0.000000,0.001617,0.002924,0.043272
1784699523.482294596,6.504412,0.000000,0.194256,0.367792,0.150643,0.002956,0.214627,0.281719,5.245075,0.000808,0.001212,0.002779,0.042545
1784699523.953842764,7.003575,0.000000,0.250342,0.351859,0.357584,0.039779,0.216065,0.294635,5.447083,0.000808,0.001213,0.003021,0.041186
1784699524.413962860,6.416639,0.000000,0.217648,0.358118,0.053748,0.003255,0.217646,0.367117,5.152861,0.000808,0.001213,0.002780,0.041445
1784699524.898026672,6.938163,0.000000,0.205167,0.363779,0.364893,0.047642,0.216856,0.353808,5.338974,0.000000,0.002426,0.002633,0.041985
1784699525.369956006,6.007637,0.000000,0.217830,0.394616,0.346551,0.004140,0.215922,0.352621,4.430637,0.000000,0.002020,0.003904,0.039396
