timestamp,total_power_w,3V7_WL_SW,3V3_SYS,1V8_SYS,DDR_VDD2,DDR_VDDQ,1V1_SYS,0V8_SW,VDD_CORE,3V3_DAC,3V3_ADC,0V8_AON,HDMI
1784698822.701900702,3.060314,0.007231,0.412556,0.339393,0.088439,0.007102,0.216281,0.332597,1.607747,0.000000,0.001213,0.002778,0.044977
1784698822.922021887,3.832548,0.000000,0.220773,0.346675,0.042090,0.000000,0.217646,0.285490,2.675077,0.000808,0.001213,0.002828,0.039948
1784698823.120800382,3.133120,0.000000,0.211092,0.350322,0.051907,0.000593,0.216856,0.307895,1.951165,0.000000,0.001213,0.002928,0.039149
1784698823.502581932,6.514083,0.000000,0.210444,0.382363,0.133318,0.002367,0.217357,0.282631,5.238506,0.000809,0.000606,0.003315,0.042367
1784698823.958002148,6.783551,0.000000,0.204882,0.358896,0.122870,0.020331,0.217646,0.350233,5.463262,0.000000,0.001211,0.002926,0.041294
1784698824.413974993,6.713021,0.000000,0.201125,0.386642,0.259925,0.011808,0.222177,0.326351,5.262597,0.000000,0.001211,0.002587,0.038598
1784698825.006203946,5.677437,0.003616,0.217526,0.369784,0.194328,0.016888,0.217646,0.356434,4.254291,0.000808,0.001415,0.002782,0.041919
1784698825.522480939,6.724916,0.195175,0.266152,0.376999,0.249721,0.010949,0.226566,0.346650,5.006300,0.000000,0.001212,0.002825,0.042367
1784698826.014997968,6.938276,0.170002,0.214160,0.362891,0.123948,0.010006,0.214556,0.325421,5.473930,0.000000,0.001213,0.002681,0.039468
1784698826.478626688,6.548125,0.202606,0.213981,0.355859,0.091614,0.005629,0.231345,0.364551,5.038137,0.000808,0.001212,0.002925,0.039458
1784698826.989122930,5.886181,0.177325,0.213682,0.384877,0.225815,0.010634,0.213915,0.327762,4.286099,0.000808,0.000606,0.003170,0.041488
1784698827.511281505,7.423390,0.177147,0.213682,0.384045,0.168362,0.014769,0.218651,0.346333,5.855258,0.000000,0.001213,0.002680,0.041250
1784698828.097150002,7.012966,0.180853,0.236411,0.395948,0.297081,0.006207,0.218651,0.350852,5.280092,0.000808,0.001212,0.003019,0.041832
1784698828.622221572,7.777191,0.169874,0.240320,0.353618,0.053748,0.020406,0.217574,0.324008,6.351960,0.000000,0.001213,0.002928,0.041542
1784698829.094661222,6.354682,0.177236,0.214100,0.373423,0.205862,0.015722,0.217501,0.349933,4.757467,0.000000,0.001414,0.002680,0.039344
1784698829.638548541,5.468136,0.177192,0.237205,0.345360,0.177347,0.003840,0.217646,0.350072,3.914717,0.000808,0.000606,0.002633,0.040710
1784698830.198483612,6.521114,0.177147,0.204483,0.384146,0.076575,0.000296,0.215777,0.287182,5.130758,0.000808,0.000606,0.002679,0.040657
1784698830.661668091,6.724125,0.000000,0.230127,0.354427,0.106668,0.005918,0.216496,0.287708,5.480541,0.000808,0.000607,0.002780,0.038045
1784698831.150168326,6.886321,0.000000,0.214220,0.402442,0.297476,0.023109,0.215777,0.362099,5.324747,0.000000,0.001213,0.002782,0.042456
1784698831.711266543,5.274737,0.000000,0.204654,0.374222,0.297283,0.006210,0.217935,0.351656,3.780558,0.000000,0.001415,0.002679,0.038125
1784698832.202420514,7.128221,0.000000,0.227013,0.390034,0.294731,0.010936,0.218723,0.312869,5.630503,0.000807,0.000607,0.002922,0.039076
1784698832.674316348,6.899340,0.000000,0.184647,0.345289,0.089488,0.020307,0.221661,0.316837,5.675976,0.000000,0.001214,0.003168,0.040753
1784698833.146526459,6.648482,0.000000,0.217284,0.355685,0.057219,0.031959,0.218941,0.346967,5.378758,0.000808,0.000606,0.002778,0.037477
1784698833.610766452,6.347602,0.180717,0.204140,0.365933,0.211321,0.006506,0.239953,0.336346,4.756697,0.000000,0.001415,0.003313,0.041261
1784698834.150066200,7.019813,0.191992,0.214280,0.367593,0.194006,0.017996,0.216712,0.339468,5.431179,0.000808,0.000606,0.002728,0.042445
1784698834.655224945,5.443014,0.180898,0.217466,0.388593,0.264438,0.011555,0.219014,0.355856,3.758557,0.000808,0.001415,0.003218,0.041196
1784698835.213048924,6.551633,0.188040,0.227203,0.390669,0.261561,0.018313,0.215922,0.343527,4.863036,0.000202,0.001213,0.003166,0.038781
1784698835.714217192,6.710197,0.170002,0.204711,0.387540,0.361187,0.006203,0.228813,0.368446,4.935665,0.000808,0.001415,0.002829,0.042578
1784698836.234751283,6.773124,0.184424,0.214937,0.347208,0.024716,0.030128,0.217574,0.322488,5.388339,0.000808,0.000606,0.002974,0.038922
1784698836.710047572,6.193453,0.184516,0.210856,0.369051,0.211882,0.003845,0.229498,0.363212,4.576809,0.000808,0.000606,0.003118,0.039252
