timestamp,total_power_w,3V7_WL_SW,3V3_SYS,1V8_SYS,DDR_VDD2,DDR_VDDQ,1V1_SYS,0V8_SW,VDD_CORE,3V3_DAC,3V3_ADC,0V8_AON,HDMI
1784699216.955026696,1.962514,0.000000,0.207439,0.332146,0.022657,0.000888,0.217574,0.273163,0.862413,0.000808,0.001213,0.002973,0.041240
1784699217.182246067,4.033760,0.000000,0.236477,0.346830,0.095671,0.001480,0.216065,0.302235,2.791974,0.000808,0.001415,0.002680,0.038125
1784699217.386881127,4.500475,0.000000,0.355041,0.395412,0.012912,0.000000,0.216856,0.273539,3.199575,0.000808,0.000606,0.002826,0.042900
1784699217.962150800,6.713685,0.000000,0.207091,0.343341,0.195446,0.001480,0.217574,0.372585,5.332536,0.000000,0.001617,0.002681,0.039334
1784699218.414332823,6.383571,0.000000,0.204540,0.382272,0.075547,0.004163,0.217140,0.290569,5.163926,0.000000,0.001212,0.002973,0.041229
1784699218.821908927,6.263980,0.000000,0.213682,0.358993,0.226491,0.006806,0.216496,0.291864,4.906349,0.000000,0.001213,0.002680,0.039406
1784699219.296645391,6.740324,0.000000,0.220835,0.353618,0.092661,0.002071,0.217862,0.325123,5.485500,0.000000,0.001212,0.002631,0.038811
1784699219.750347374,6.735099,0.007229,0.204312,0.348812,0.161993,0.001764,0.216281,0.342741,5.408953,0.000808,0.001214,0.002877,0.038115
1784699220.210299699,7.518780,0.000000,0.374617,0.443342,0.243262,0.012965,0.216065,0.354457,5.829603,0.000000,0.001213,0.002684,0.040572
1784699220.734380611,6.758931,0.000000,0.213622,0.378146,0.160434,0.038788,0.216928,0.300448,5.402803,0.000808,0.003232,0.003118,0.040604
1784699221.215217805,7.139107,0.000000,0.210915,0.378248,0.205930,0.014715,0.215419,0.325719,5.745665,0.000000,0.001213,0.003168,0.038115
1784699221.682247635,5.543781,0.000000,0.213682,0.382695,0.289141,0.014796,0.218941,0.324789,4.050598,0.000000,0.001213,0.002926,0.045000
1784699222.171378721,6.591531,0.184470,0.207670,0.390669,0.288087,0.011217,0.215705,0.312297,4.939129,0.000000,0.001414,0.002778,0.038095
1784699222.698138518,6.605501,0.199287,0.207265,0.392004,0.219873,0.017755,0.215922,0.361104,4.948084,0.000808,0.001212,0.002925,0.039262
1784699223.250924305,6.476373,0.177236,0.246058,0.363483,0.071041,0.000591,0.216496,0.355856,4.997439,0.000000,0.001617,0.002680,0.043876
1784699223.759269338,6.634280,0.184424,0.204254,0.354097,0.123620,0.000000,0.220092,0.301367,5.202019,0.000808,0.001415,0.002778,0.039406
1784699224.294404489,6.718616,0.180898,0.217466,0.382077,0.316113,0.020061,0.217646,0.356182,4.981472,0.000000,0.002425,0.002972,0.041304
1784699224.790407878,6.493543,0.191608,0.217162,0.390246,0.268642,0.001187,0.217574,0.352411,4.810219,0.000808,0.000606,0.002582,0.040498
1784699225.297958320,6.120800,0.188087,0.194691,0.350099,0.195666,0.003245,0.221171,0.313715,4.612128,0.000000,0.001213,0.002680,0.038105
1784699225.778049996,7.153920,0.184332,0.207149,0.351477,0.105801,0.001772,0.214698,0.340092,5.703264,0.000000,0.001213,0.002828,0.041294
1784699226.240922480,6.746299,0.000000,0.217466,0.342319,0.102053,0.010338,0.228345,0.303014,5.498428,0.000808,0.000606,0.002974,0.039948
1784699226.786018355,7.042198,0.000000,0.204369,0.379493,0.175069,0.001178,0.216784,0.323712,5.698746,0.000000,0.001213,0.002874,0.038760
1784699227.284622479,5.670372,0.173576,0.211210,0.380007,0.257683,0.012110,0.218070,0.344785,4.029753,0.000809,0.000606,0.003023,0.038740
1784699227.790581312,6.784516,0.173619,0.211445,0.380939,0.085232,0.010889,0.218723,0.324343,5.334231,0.000000,0.001415,0.003118,0.040562
1784699228.319292993,6.945636,0.166343,0.200956,0.350574,0.339685,0.007102,0.216568,0.286656,5.332624,0.000000,0.001213,0.003119,0.040796
1784699228.839229505,6.148080,0.180853,0.236345,0.399380,0.357959,0.023391,0.219014,0.351309,4.335117,0.000000,0.001212,0.002875,0.040625
1784699229.249911231,5.666809,0.180808,0.249226,0.351477,0.321411,0.006180,0.215491,0.299531,3.996208,0.000808,0.000606,0.002585,0.042478
1784699229.697912594,7.099288,0.173706,0.210915,0.358993,0.069003,0.030019,0.214990,0.313487,5.687355,0.000808,0.000607,0.002684,0.036721
1784699230.274132930,6.981187,0.177325,0.214459,0.343420,0.177367,0.027470,0.217862,0.300448,5.477539,0.000000,0.001213,0.002877,0.041207
1784699230.734732677,7.080068,0.177192,0.213921,0.353861,0.058376,0.002073,0.230575,0.323748,5.678288,0.000000,0.001213,0.002825,0.037996
1784699231.187137884,6.291520,0.000000,0.211445,0.369452,0.060377,0.048117,0.217140,0.313078,5.028661,0.000000,0.001213,0.003216,0.038821
1784699231.666217635,5.269538,0.000000,0.214220,0.355089,0.090536,0.001774,0.217862,0.317359,4.027326,0.000808,0.000606,0.002632,0.041326
1784699232.137951473,6.769872,0.000000,0.230899,0.348246,0.090296,0.009423,0.217574,0.334786,5.496106,0.000000,0.001213,0.002680,0.038649
1784699232.622546715,6.687893,0.000000,0.204939,0.347050,0.180293,0.011238,0.216784,0.324194,5.361227,0.000808,0.000606,0.002778,0.037976
1784699233.116508735,6.789172,0.000000,0.233368,0.380503,0.056214,0.002071,0.217646,0.297327,5.558829,0.000000,0.001213,0.002677,0.039324
1784699233.594079433,6.918262,0.003617,0.194908,0.380110,0.089785,0.001472,0.217068,0.353774,5.633374,0.000000,0.001213,0.002825,0.040116
1784699234.058271359,7.025083,0.000000,0.340805,0.439466,0.179451,0.005595,0.217646,0.346333,5.449801,0.000809,0.000606,0.002729,0.041842
1784699234.522502174,6.721471,0.000000,0.237734,0.349815,0.074122,0.001767,0.217140,0.348690,5.448975,0.000000,0.001213,0.002681,0.039334
1784699234.974095529,6.705370,0.000000,0.224082,0.351859,0.142271,0.019730,0.219144,0.295495,5.407514,0.000808,0.001415,0.002926,0.040126
1784699235.429892896,6.745640,0.000000,0.207149,0.367194,0.073097,0.027993,0.238354,0.285752,5.502746,0.000000,0.001213,0.002777,0.039365
1784699235.902524362,6.180129,0.000000,0.214280,0.368190,0.105731,0.011815,0.216928,0.285621,4.933574,0.000808,0.001415,0.003118,0.038649
1784699236.441405635,6.941558,0.206224,0.240186,0.355377,0.120715,0.006203,0.217574,0.305830,5.447334,0.000000,0.001213,0.002777,0.038125
1784699236.913871878,6.539160,0.195272,0.217951,0.349341,0.066647,0.047440,0.217068,0.317272,5.081293,0.000808,0.000606,0.002828,0.042634
1784699237.382050871,6.664439,0.213353,0.243296,0.341026,0.091887,0.044145,0.217140,0.315477,5.154585,0.000000,0.001213,0.002777,0.039540
1784699237.821975340,6.481285,0.170002,0.207844,0.383110,0.073267,0.013340,0.216568,0.347431,5.024113,0.000000,0.001213,0.003168,0.041229
1784699238.297968373,7.084077,0.217024,0.217223,0.384146,0.118402,0.003251,0.216065,0.359142,5.523267,0.000000,0.001414,0.003119,0.041024
1784699238.782192522,5.866224,0.180808,0.221081,0.374284,0.090536,0.010043,0.218796,0.330732,4.392122,0.000808,0.001414,0.002977,0.042623
1784699239.268807036,7.213976,0.195224,0.245439,0.360460,0.064776,0.000888,0.218796,0.350271,5.735081,0.000000,0.001214,0.002874,0.038953
1784699239.755062625,5.554145,0.180717,0.236676,0.381346,0.131886,0.006214,0.216856,0.288875,4.067122,0.000808,0.001415,0.002824,0.039406
1784699240.267116927,6.723814,0.213407,0.256415,0.394554,0.175509,0.001475,0.221098,0.353971,5.062333,0.000808,0.001415,0.002923,0.039906
1784699240.868591994,6.668681,0.180763,0.210444,0.401662,0.282199,0.044441,0.218368,0.358197,4.927231,0.000000,0.001213,0.002826,0.041337
1784699241.482897631,6.325283,0.180898,0.213921,0.391092,0.299433,0.012755,0.234885,0.359099,4.585504,0.000808,0.001415,0.002828,0.042645
1784699242.030957442,6.105110,0.177236,0.211033,0.390140,0.332076,0.018269,0.216784,0.355856,4.361610,0.000000,0.001213,0.002728,0.038165
1784699242.631044566,5.532970,0.180763,0.217223,0.383110,0.230575,0.008888,0.215205,0.338217,3.915578,0.000000,0.001213,0.002874,0.039324
1784699243.098885133,6.381925,0.198889,0.219603,0.350699,0.078654,0.029906,0.217935,0.347113,4.897821,0.000808,0.001213,0.003119,0.036165
1784699243.651019307,6.343859,0.206018,0.214280,0.394983,0.282149,0.009452,0.218651,0.356800,4.616302,0.000000,0.001213,0.002825,0.041186
1784699244.253476908,6.474006,0.180853,0.217041,0.384868,0.235353,0.015921,0.217429,0.351174,4.826147,0.000000,0.001212,0.002779,0.041229
1784699244.854363865,6.152490,0.177236,0.210974,0.388909,0.292087,0.018073,0.217574,0.353808,4.451746,0.000000,0.001213,0.002874,0.037996
1784699245.422804361,6.927228,0.180944,0.214519,0.397385,0.324635,0.020147,0.228345,0.323080,5.195753,0.000000,0.001212,0.003123,0.038085
1784699245.989994322,5.968176,0.180898,0.198378,0.389561,0.220951,0.009458,0.216924,0.354425,4.350805,0.000000,0.001213,0.003118,0.042445
1784699246.512295345,7.045544,0.180853,0.545625,0.392004,0.325499,0.008535,0.216996,0.357580,4.972964,0.000000,0.001212,0.003123,0.041153
1784699246.988060193,6.095513,0.173489,0.211681,0.395627,0.307232,0.012406,0.216784,0.359878,4.374889,0.000000,0.001213,0.002825,0.039489
1784699247.502609471,6.076535,0.180898,0.204426,0.385807,0.237512,0.011555,0.214342,0.337127,4.462386,0.000808,0.000606,0.002973,0.038095
1784699247.982287682,6.878470,0.169874,0.198157,0.379580,0.178976,0.010922,0.216281,0.308111,5.370801,0.000202,0.001414,0.002826,0.041326
1784699248.539520976,6.011114,0.169959,0.217344,0.376081,0.187912,0.005886,0.218723,0.335258,4.455658,0.000808,0.000606,0.002973,0.039906
1784699249.185580554,6.383671,0.184470,0.237469,0.354385,0.102494,0.001778,0.218651,0.304072,4.934668,0.000000,0.001212,0.003168,0.041304
1784699249.693077048,5.862086,0.180717,0.217466,0.373917,0.208708,0.010640,0.218941,0.351793,4.255574,0.000000,0.001414,0.002874,0.040042
1784699250.210254839,6.214745,0.188087,0.523025,0.381456,0.314930,0.019471,0.216496,0.364719,4.165562,0.000000,0.001415,0.002728,0.036856
1784699250.742438270,6.830293,0.209790,0.214280,0.375237,0.214484,0.013832,0.215778,0.340404,5.203709,0.000000,0.001212,0.002928,0.038639
1784699251.274142146,5.944825,0.184332,0.214280,0.348623,0.177957,0.001183,0.234118,0.346186,4.392119,0.000808,0.001212,0.002875,0.041132
1784699251.827672168,6.893516,0.180717,0.236345,0.362513,0.194070,0.005616,0.217935,0.342898,5.307147,0.000202,0.001818,0.002972,0.041283
1784699252.335617513,6.193294,0.173532,0.217041,0.353426,0.299930,0.027765,0.218941,0.362993,4.495852,0.000404,0.000606,0.003511,0.039293
1784699252.842061972,6.916446,0.180808,0.220527,0.375542,0.297960,0.015064,0.217646,0.321519,5.241912,0.000808,0.000606,0.002825,0.041229
1784699253.364524049,7.259534,0.187993,0.543309,0.450257,0.335533,0.020098,0.215778,0.320885,5.140056,0.000000,0.001213,0.003118,0.041294
1784699253.835603812,6.733307,0.188040,0.200956,0.394554,0.090626,0.009412,0.217935,0.362214,5.224344,0.000808,0.000606,0.002583,0.041229
1784699254.360512534,6.793521,0.000000,0.214638,0.354097,0.160754,0.038057,0.216281,0.294071,5.468972,0.000808,0.001414,0.002973,0.041456
1784699254.830288095,6.128876,0.000000,0.217344,0.378760,0.234651,0.018051,0.221171,0.345869,4.668274,0.000808,0.000606,0.003216,0.040126
1784699255.305401924,6.273311,0.000000,0.210798,0.354051,0.130502,0.001766,0.214990,0.350987,4.966505,0.000808,0.000606,0.002974,0.039324
1784699255.793958933,6.544579,0.000000,0.197715,0.384877,0.314512,0.009140,0.219728,0.331035,5.045337,0.000808,0.000606,0.002825,0.037996
1784699256.237326783,6.897736,0.000000,0.230642,0.391092,0.323022,0.020431,0.218578,0.345869,5.324747,0.000808,0.000606,0.003221,0.038720
1784699256.708429952,6.777488,0.000000,0.262173,0.374959,0.075672,0.005629,0.220092,0.305351,5.488162,0.000000,0.001415,0.002925,0.041110
1784699257.181848007,6.758835,0.000000,0.223645,0.356750,0.135444,0.003551,0.216856,0.295732,5.488162,0.000202,0.001415,0.002874,0.034204
1784699257.657429206,5.683268,0.000000,0.214698,0.388699,0.292571,0.040836,0.215205,0.361034,4.122836,0.000000,0.001415,0.002826,0.043148
1784699258.142114110,6.735886,0.003616,0.198157,0.344915,0.122707,0.010659,0.214698,0.296275,5.501086,0.000808,0.000606,0.002973,0.039386
1784699258.634335130,5.823959,0.000000,0.214459,0.362022,0.265553,0.003854,0.217140,0.291084,4.425283,0.000808,0.001212,0.003169,0.039375
