timestamp,total_power_w,3V7_WL_SW,3V3_SYS,1V8_SYS,DDR_VDD2,DDR_VDDQ,1V1_SYS,0V8_SW,VDD_CORE,3V3_DAC,3V3_ADC,0V8_AON,HDMI
1784698547.719105662,2.014976,0.000000,0.208192,0.339981,0.036719,0.000296,0.216996,0.282500,0.882049,0.000808,0.001213,0.003119,0.043103
1784698547.941757827,3.879723,0.000000,0.203456,0.346036,0.099323,0.001480,0.231883,0.308891,2.641639,0.000000,0.001618,0.002874,0.042523
1784698548.175366463,5.809716,0.000000,0.230770,0.344074,0.069071,0.010666,0.215920,0.279378,4.611278,0.000000,0.002022,0.002684,0.043853
1784698548.638590387,8.596751,0.000000,0.249644,0.366429,0.191914,0.020727,0.229193,0.352115,7.139350,0.000000,0.001213,0.002826,0.043340
1784698549.094563706,8.716339,0.000000,0.240052,0.377941,0.160381,0.021484,0.245333,0.286402,7.338700,0.000808,0.001211,0.002831,0.041196
1784698549.562488383,7.724107,0.000000,0.218072,0.348057,0.057162,0.029136,0.216496,0.302458,6.506748,0.000808,0.001213,0.002923,0.041034
1784698550.041181551,6.055440,0.000000,0.224270,0.407057,0.364599,0.001479,0.218651,0.327281,4.466424,0.000000,0.001212,0.002635,0.041832
1784698550.518508607,7.127123,0.177236,0.301771,0.343341,0.063612,0.018916,0.217862,0.303014,5.657764,0.000808,0.001415,0.003069,0.038315
1784698551.001033900,8.715460,0.180717,0.259733,0.346205,0.242150,0.022785,0.228345,0.281196,7.111182,0.000000,0.001213,0.002682,0.039252
1784698551.470003665,6.949618,0.177236,0.204197,0.362805,0.124902,0.025745,0.216928,0.353058,5.437732,0.000000,0.003235,0.002778,0.041002
1784698551.902333665,9.110260,0.209632,0.201181,0.385916,0.321401,0.015645,0.228724,0.326383,7.375519,0.000000,0.001616,0.002777,0.041466
1784698552.374381649,6.452092,0.169917,0.210856,0.337418,0.176208,0.000000,0.217790,0.303206,4.990382,0.000808,0.001213,0.002583,0.041711
1784698552.830083627,8.507806,0.184424,0.191126,0.346036,0.042160,0.000000,0.216353,0.286402,7.195063,0.000000,0.002426,0.002825,0.040991
1784698553.309779769,6.756712,0.184332,0.227076,0.375673,0.297772,0.013381,0.231034,0.289506,5.090780,0.000000,0.001210,0.002633,0.043315
1784698553.878109575,8.914043,0.000000,0.204312,0.382695,0.303943,0.007652,0.215419,0.325868,7.425879,0.000808,0.001213,0.002925,0.043329
1784698554.345417225,8.398455,0.000000,0.243092,0.394447,0.159992,0.021523,0.215419,0.338217,6.979700,0.000808,0.001415,0.002972,0.040870
1784698554.818247704,9.044962,0.000000,0.217708,0.345289,0.160221,0.000000,0.233808,0.346967,7.695735,0.000808,0.000808,0.003120,0.040498
1784698555.240764651,7.844227,0.000000,0.201012,0.380110,0.101281,0.004720,0.216496,0.288875,6.602104,0.000808,0.001213,0.003020,0.044588
1784698555.702288286,8.943415,0.000000,0.210444,0.344822,0.161243,0.000000,0.216856,0.326351,7.640237,0.000000,0.001213,0.002678,0.039571
