timestamp,total_power_w,3V7_WL_SW,3V3_SYS,1V8_SYS,DDR_VDD2,DDR_VDDQ,1V1_SYS,0V8_SW,VDD_CORE,3V3_DAC,3V3_ADC,0V8_AON,HDMI
1784699338.953584742,2.021676,0.000000,0.207439,0.333541,0.049760,0.000000,0.219144,0.280167,0.888488,0.000000,0.001415,0.002972,0.038750
1784699339.185781987,3.987579,0.000000,0.356336,0.429035,0.173700,0.012037,0.214342,0.322152,2.436828,0.000808,0.001415,0.002681,0.038245
1784699339.414162238,6.705643,0.000000,0.204312,0.361132,0.150263,0.001179,0.228420,0.315622,5.397924,0.000000,0.001213,0.002633,0.042945
1784699339.866128953,6.489283,0.000000,0.230192,0.350194,0.127224,0.001767,0.220092,0.285621,5.227580,0.000000,0.001213,0.002877,0.042523
1784699340.414322085,6.906770,0.000000,0.211210,0.345289,0.157830,0.001177,0.232653,0.306692,5.607812,0.000000,0.002022,0.002679,0.039406
1784699340.886042227,6.620599,0.000000,0.214399,0.342505,0.055351,0.001184,0.216065,0.330726,5.416908,0.000000,0.001415,0.002681,0.039365
1784699341.354053801,6.584663,0.000000,0.217405,0.354992,0.064862,0.006475,0.219144,0.291864,5.383622,0.000808,0.000606,0.002977,0.041908
1784699341.818009197,6.580603,0.000000,0.207728,0.350194,0.120635,0.000890,0.215491,0.290038,5.350242,0.000000,0.001214,0.002877,0.041294
1784699342.293790332,6.873078,0.000000,0.214160,0.346581,0.088703,0.000000,0.216568,0.288993,5.673157,0.000000,0.001213,0.003120,0.040583
1784699342.839760949,5.852202,0.000000,0.221204,0.372566,0.219436,0.010357,0.217140,0.352276,4.412022,0.000000,0.001213,0.002874,0.043114
1784699343.334160142,6.652770,0.000000,0.207613,0.347531,0.050607,0.006526,0.216065,0.290284,5.490742,0.000808,0.000607,0.002632,0.039355
1784699343.868085355,6.635003,0.198789,0.207613,0.394189,0.300986,0.025510,0.218215,0.323563,4.919085,0.000000,0.001212,0.002874,0.042967
1784699344.406546338,6.637636,0.180853,0.220588,0.368951,0.066891,0.039037,0.230805,0.332597,5.152668,0.000000,0.001213,0.002826,0.041207
1784699344.926525355,5.141488,0.195272,0.200732,0.376387,0.158881,0.013637,0.217357,0.327940,3.606577,0.000808,0.001415,0.002681,0.039801
1784699345.374583669,6.360345,0.188087,0.213742,0.386206,0.259666,0.009157,0.217935,0.353191,4.686521,0.000000,0.001818,0.002826,0.041196
1784699345.862087967,6.414727,0.177325,0.210739,0.345454,0.073704,0.007684,0.218941,0.331208,5.006300,0.000000,0.001213,0.002876,0.039283
1784699346.482130338,6.686283,0.177103,0.217284,0.382279,0.266485,0.029663,0.217646,0.351309,5.001353,0.000000,0.001415,0.003026,0.038720
1784699346.948863673,7.002847,0.169874,0.204312,0.391016,0.228193,0.002068,0.217574,0.330732,5.416908,0.000000,0.001213,0.002632,0.038325
1784699347.443316347,6.837850,0.180808,0.201012,0.347050,0.068150,0.000589,0.220019,0.290951,5.485500,0.000808,0.001414,0.002778,0.038771
1784699347.906200838,6.438397,0.000000,0.237469,0.369884,0.087303,0.000000,0.216065,0.286664,5.194295,0.000000,0.001213,0.002926,0.042578
1784699348.368679514,6.515209,0.184470,0.214280,0.352091,0.092384,0.006806,0.216065,0.299119,5.104884,0.000000,0.001415,0.002585,0.041110
1784699348.878005254,5.552352,0.170002,0.227457,0.395948,0.307743,0.011252,0.215491,0.360822,3.819236,0.000808,0.001213,0.002974,0.039406
1784699349.377705547,6.284469,0.191512,0.208192,0.388593,0.301587,0.025745,0.227645,0.351495,4.544670,0.000000,0.001213,0.002729,0.041088
1784699349.858226820,7.112249,0.198839,0.236676,0.373323,0.193684,0.007375,0.215205,0.308678,5.534937,0.000808,0.000606,0.002825,0.039293
