timestamp,total_power_w,3V7_WL_SW,3V3_SYS,1V8_SYS,DDR_VDD2,DDR_VDDQ,1V1_SYS,0V8_SW,VDD_CORE,3V3_DAC,3V3_ADC,0V8_AON,HDMI
1784698968.867804299,2.808432,0.000000,0.401688,0.335843,0.056121,0.000000,0.216496,0.338535,1.414592,0.000000,0.001213,0.002780,0.041164
1784698969.077407042,3.972730,0.003614,0.207497,0.346036,0.072022,0.002370,0.229498,0.297599,2.768111,0.000808,0.001213,0.002733,0.041229
1784698969.289088707,3.689216,0.018076,0.213742,0.385812,0.123578,0.000590,0.218941,0.303570,2.379783,0.000000,0.001213,0.002779,0.041132
1784698969.782344976,8.268334,0.000000,0.210680,0.412232,0.409976,0.004439,0.215419,0.357089,6.614021,0.000808,0.001213,0.003123,0.039334
1784698970.270897865,6.011849,0.000000,0.237469,0.361327,0.110757,0.004723,0.215491,0.303987,4.727729,0.000807,0.001213,0.002924,0.045422
1784698970.766416278,5.729406,0.000000,0.220650,0.384877,0.227645,0.029278,0.267386,0.374757,4.178937,0.000808,0.001415,0.002826,0.040827
1784698971.327300582,6.402068,0.000000,0.213981,0.354222,0.176527,0.008608,0.215705,0.325421,5.064158,0.000000,0.001416,0.002778,0.039252
1784698971.842139852,8.346485,0.000000,0.203627,0.416614,0.416804,0.004143,0.218868,0.350093,6.689938,0.000000,0.001414,0.002584,0.042400
1784698972.338370522,5.401785,0.000000,0.204597,0.388909,0.157965,0.019826,0.235197,0.372777,3.979117,0.000808,0.000606,0.002484,0.039499
1784698972.836790319,6.361278,0.202454,0.211445,0.369352,0.107924,0.011211,0.216065,0.314495,4.885440,0.000808,0.000606,0.002587,0.038891
1784698973.398463658,7.255706,0.187993,0.226569,0.409804,0.398807,0.020061,0.217357,0.368953,5.380718,0.000000,0.001414,0.002877,0.041153
1784698973.972306921,5.590595,0.159151,0.200732,0.394584,0.312877,0.033102,0.217140,0.363493,3.863834,0.000202,0.001415,0.002977,0.041088
1784698974.437841846,5.774114,0.180808,0.214100,0.400249,0.307482,0.020061,0.239433,0.366613,4.002944,0.000808,0.000606,0.002925,0.038085
1784698974.964284743,8.120091,0.177236,0.213682,0.412986,0.163012,0.017342,0.217357,0.361241,6.514232,0.000808,0.000606,0.002678,0.038911
